date,total_forecast
2025-01-01,1348.0649489036036
2025-02-01,1224.7952257676852
2025-03-01,1327.9092704774887
2025-04-01,1267.8205401904681
2025-05-01,1319.523630732847
2025-06-01,1272.1483178204662
2025-07-01,1293.7363627524364
2025-08-01,1372.5476814168037
2025-09-01,1222.2520390785032
2025-10-01,1164.3208191445879
2025-11-01,1362.7007461397666
2025-12-01,1323.5496306550804
2026-01-01,1396.4450140559798
2026-02-01,1272.4066405058772
2026-03-01,1374.7987491140711
2026-04-01,1314.047395489744
2026-05-01,1365.2048230440396
2026-06-01,1317.2233083973842
2026-07-01,1338.2928266631334
2026-08-01,1416.6173000326767
2026-09-01,1265.862915814399
2026-10-01,1207.5029887489584
2026-11-01,1405.4376676143129
2026-12-01,1365.8737187595207
