year,quarter,rank,product,category,quarterly_sum
2027,Q1,1,kursi auditorium ll 516 tb tg,Auditorium Series,2824.885971673015
2027,Q1,2,kursi auditorium ll 526 tb,Auditorium Series,1419.5406892829224
2027,Q1,3,kursi auditorium ll 184,Auditorium Series,1280.4257017331959
2027,Q1,4,kursi kerja dp 301 tb,Stacking Series,1278.535733656013
2027,Q1,5,kursi auditorium ll 516 tb,Auditorium Series,1082.24836375456
2027,Q2,1,kursi auditorium ll 516 tb tg,Auditorium Series,919.4606316715784
2027,Q2,2,kursi auditorium ll 526 tb,Auditorium Series,462.040518427929
2027,Q2,3,kursi auditorium ll 184,Auditorium Series,416.7605476219919
2027,Q2,4,kursi kerja dp 301 tb,Stacking Series,388.0915064983152
2027,Q2,5,kursi auditorium ll 516 tb,Auditorium Series,327.48387394814745
