year,quarter,rank,product_name,category,quarterly_sum
2025,Q2,1,kursi kerja dp 301 tb,Stacking Series,368.31389902192416
2025,Q2,2,kursi kerja br 205 ha,Secretary Series,310.0
2025,Q2,3,kursi kerja dp 308,Stacking Series,208.00207936034826
2025,Q2,4,kursi kerja dp 301,Stacking Series,188.66736166056864
2025,Q2,5,kursi br 211 ca mesh,Secretary Series,162.0
2025,Q3,1,kursi kerja dp 301 tb,Stacking Series,552.4708485328863
2025,Q3,2,kursi kerja br 205 ha,Secretary Series,465.0
2025,Q3,3,kursi auditorium ll 516 tb,Auditorium Series,407.4559862526903
2025,Q3,4,kursi kerja dp 308,Stacking Series,312.0031190405224
2025,Q3,5,kursi br 211 ca mesh,Secretary Series,243.0
2025,Q4,1,kursi kerja dp 301 tb,Stacking Series,552.4708485328863
2025,Q4,2,kursi kerja br 205 ha,Secretary Series,465.0
2025,Q4,3,kursi kerja dp 308,Stacking Series,312.0031190405224
2025,Q4,4,kursi auditorium ll 516 tb,Auditorium Series,289.4143277672055
2025,Q4,5,kursi br 211 ca mesh,Secretary Series,243.0
