product_name,mae,rmse,mape,n_validation_points,n_train_points,method_used
credenza crd 07 1000,0.5000519983789183,1.2247130310873822,99.99740008105408,6,20,SES
kursi auditorium ll 516,4.23615788776643,4.866980018524214,255.30086643359746,7,28,HW
kursi auditorium ll 516 tb,73.47750731507408,79.42807952513263,61.99141828835863,8,30,HW
kursi auditorium ll 517 tb,40.0,56.568542494923804,100.0,2,7,SES
kursi auditorium ll 520,64.4085411997615,97.33321651426647,100.0,6,24,HW
kursi auditorium ll 520 tb,104.57041648919287,122.97416307123385,3962.316002812106,7,28,HW
kursi auditorium ll 521 tb,10.0,14.142135623730951,100.0,2,7,SES
kursi auditorium ll 523 tb pp,0.2511629446775963,0.498841122085676,99.76741106448074,4,12,SES
kursi auditorium ll 536 wp,1.2400000536441802,1.2806248893756642,49.999988824129154,5,20,SES
kursi bar stool bs 510 pc,1.0,1.7320508075688772,100.0,3,8,SES
kursi br 211 ca mesh,40.5,57.27564927611035,100.0,2,6,SES
kursi br 211 mhar mesh,23.80666677504778,30.553141078140236,127.81926463014554,5,19,SES
kursi br 213 har mesh,16.250841339977136,18.669241597974004,82.62332765177625,5,17,SES
kursi executive x 616 har,10.000775296451732,17.319165326962423,99.99224703548269,3,12,SES
kursi hbot,12.0,12.649110640673518,100.0,2,8,SES
kursi kabag x 816 har,6.815147918460256,12.794205366185274,94.02205491608974,6,21,SES
kursi kerja ar 701 ha,1.8003743924463962,4.024643342543772,99.99306680654821,5,20,SES
kursi kerja ar 702 ha,3.0076242648823355,3.082840533179647,33.07919117058883,5,17,SES
kursi kerja ar 703 ha,0.12270845124261086,0.32465604575384305,85.8959158698276,7,25,HW
kursi kerja ar 703 har,0.3113968298840965,0.4513108163950541,87.7206340231807,4,15,SES
kursi kerja ar 801 har,1.320000035762797,1.3416408131558901,59.99999801317794,5,20,SES
kursi kerja br 201 hba,33.0,33.0,100.0,1,6,SES
kursi kerja br 204 h,0.8952105503304996,1.8886114820576345,23.78767973218274,8,28,HW
kursi kerja br 205 ha,77.5,109.60155108391487,100.0,2,7,SES
kursi kerja br 207 hba,0.33333894907673617,0.8164931420374707,99.99957881924479,6,23,SES
kursi kerja cl 906 whar cpt,3.013955481184454,5.986093320990486,99.76740864692576,4,12,SES
kursi kerja dp 301,40.51532513150734,43.84252697615403,70.24956063309818,6,22,SES
kursi kerja dp 301 tb,325.4937049981392,445.8872405445887,91.65156449446663,5,16,SES
kursi kerja dp 302 a,2.225995376825165,4.316854888420875,96.23341038624724,5,17,SES
kursi kerja dp 303,25.5,36.062445840513924,100.0,2,8,SES
kursi kerja dp 303a,4.5,6.363961030678928,100.0,2,8,SES
kursi kerja dp 304,2.25574570568437,2.4996253775096355,80.45965645474958,6,20,SES
kursi kerja dp 305,6.0,8.48528137423857,100.0,2,6,SES
kursi kerja dp 308,87.83501458486869,101.3723750127745,88.20284099946281,3,10,SES
kursi kerja fs 904 har,2.5591461146425383,5.253302314744324,97.78963729663141,5,19,SES
kursi kerja ll 508 pc,13.75,19.445436482630058,100.0,2,6,SES
kursi kerja mg 903 har,1.703137139365241,2.8249954804844037,97.81177163808555,3,10,SES
kursi kerja x 816 mhar,5.021691589099989,8.622846806730331,99.5661682180002,3,10,SES
kursi kerja x 903 mhar cpt,0.5299999924004068,0.5315072822961207,45.00000126659886,5,17,SES
kursi lab ll 503 hchfr,53.94702708213356,113.09920321621196,98.34823146424542,5,17,SES
kursi lounge lc 515 wood,0.9600015479323872,0.961481771190125,53.33320433896773,5,17,SES
kursi pimpinan x 902 mhar cpt,0.8000233990330352,1.7888369417304213,99.99902504029019,5,20,SES
kursi tunggu ll 515 4sa,2.5112433582477593,3.9598803278119745,100.0,6,24,HW
kursi tunggu vc 401 3s,0.4157459150087755,0.4792021207675858,75.27622549736735,3,10,SES
lemari alat lc 02,0.6052591021711515,1.3377438558512709,99.70782765715823,5,17,SES
lemari besi pintu kaca fc 10 900,1.100000266234038,1.913112556515144,91.99999201297885,6,23,SES
lemari besi swing door fc 07 900,1.0569703668304944,1.6393255940441613,94.30296331695054,3,11,SES
lemari file fc 05,1.006144496412958,1.9938839067741236,99.69277517935208,4,14,SES
lemari file fc 08,1.0000000357627643,1.077032994631794,20.000003576276427,5,18,SES
lemari file fc 10,1.3420099651361745,2.2944711448099717,99.3492526147869,3,10,SES
lemari hc 06 b 1200,0.433333323399229,0.4396968573681878,60.00000149011565,6,20,SES
lemari lc 03 800,1.6666666666666667,2.886751345948129,100.0,3,8,SES
lemari pakaian cd 02 1200,4.399999989072483,6.31189354976637,90.00000027318795,3,11,SES
lemari pakaian cd 03 1600,5.0,5.0,100.0,1,6,SES
locker lr 02 1200,11.0,15.549449899580644,99.95563986301562,4,13,SES
