product_name,alpha,beta,gamma,method_used,fallback_reason
credenza crd 07 1000,1.4901161193847656e-08,1.4650355768058e-08,0.0,HW,
credenza crd 09 a,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi auditorium ll 516,1.4901161193847656e-08,0.0,0.0,HW,
kursi auditorium ll 516 tb,1.4901161193847656e-08,1.4573029641665855e-08,0.0,HW,
kursi auditorium ll 517 tb,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi auditorium ll 520,1.4901161193847656e-08,9.270002275482934e-09,0.0,HW,
kursi auditorium ll 520 tb,1.4901161193847656e-08,6.048437253621544e-09,0.0,HW,
kursi auditorium ll 521 tb,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi auditorium ll 523 tb pp,0.39167325973692924,,,SES,
kursi auditorium ll 536 wp,1.4901161193847656e-08,,,SES,
kursi bar stool bs 510 pc,0.08999365492235926,,,SES,
kursi br 211 ca mesh,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi br 211 mhar mesh,1.4901161193847656e-08,2.3819188882054697e-10,0.0,HW,
kursi br 213 har mesh,0.02130605965578117,,,SES,
kursi executive x 616 har,1.4901161193847656e-08,,,SES,
kursi hbot,0.9245741976541341,,,SES,
kursi kabag x 816 har,0.1493262489610885,,,SES,
kursi kerja ar 702 ha,0.23010288725587194,,,SES,
kursi kerja ar 703 ha,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi kerja ar 703 har,0.46426689304968866,,,SES,
kursi kerja ar 801 har,1.4901161193847656e-08,1.483203907987822e-08,0.0,HW,
kursi kerja br 204 h,1.4901161193847656e-08,1.4901141711822295e-08,0.0,HW,
kursi kerja br 205 ha,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi kerja br 207 hba,1.4901161193847656e-08,1.4770488299599565e-08,0.0,HW,
kursi kerja dp 301,1.4901161193847656e-08,1.4202232603986787e-08,0.0,HW,
kursi kerja dp 301 tb,0.06777023640000626,,,SES,
kursi kerja dp 302 a,0.3590613411473971,,,SES,
kursi kerja dp 303,1.4901161193847656e-08,,,SES,
kursi kerja dp 304,0.46598874665827816,0.0,0.0,HW,
kursi kerja dp 305,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi kerja dp 308,0.4871087752690143,,,SES,
kursi kerja fs 904 har,1.4901161193847656e-08,7.090209945186415e-09,0.0,HW,
kursi kerja ll 508 pc,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi kerja mg 903 har,1.4901161193847656e-08,,,SES,
kursi kerja x 816 mhar,0.09412588526976938,,,SES,
kursi kerja x 903 mhar cpt,1.4901161193847656e-08,,,SES,
kursi lab ll 503 hchfr,0.06669257242032102,,,SES,
kursi lounge lc 515 wood,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
kursi pimpinan x 902 mhar cpt,0.38617662485365806,0.38617662485365806,0.0,HW,
kursi tunggu ll 515 4sa,1.4901161193847656e-08,0.0,0.0,HW,
kursi tunggu vc 401 3s,0.28812265244687685,,,SES,
lemari alat lc 02,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
lemari besi pintu kaca fc 10 900,0.06619554622619743,,,SES,
lemari besi swing door fc 07 900,0.0284189506309196,,,SES,
lemari file fc 08,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
lemari hc 06 b 1200,1.4901161193847656e-08,1.4101278585592507e-08,0.0,HW,
lemari lc 03 800,1.4901161193847656e-08,,,SES,
lemari pakaian cd 02 1200,1.4901161193847656e-08,,,SES,
locker lr 02 1200,0.9461792457630779,,,SES,
meja kerja wdb 01 3000,0.22855890429183398,,,SES,
meja kerja wdb 01 pd,0.31995755685716326,,,SES,
meja kerja wdb 02 1200,0.2209094542741009,0.2209094542741009,0.0,HW,
meja kerja wdb 03 1400,0.2129813511877179,,,SES,
meja kerja wdb 04 pd,0.16705541642700483,,,SES,
meja kerja wdb 05,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja kerja wde 01 1600,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja kerja wde 02 a 1600,1.4901161193847656e-08,,,SES,
meja kerja wde 03 1600,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja komputer cd 02,0.17763552815575528,,,SES,
meja lipat ft 01,1.4901161193847656e-08,,,SES,
meja lipat ft 02,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja makan dt 01,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja podium pt 01b,1.4901161193847656e-08,,,SES,
meja proyektor pd 01,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja rapat ct 01,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja rapat ct 02,0.39921719649090337,,,SES,
meja rapat ct 08 1600,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja rapat ct 09 a,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja siswa ll 506 tc,1.4901161193847656e-08,,,SES,
meja tamu cft 05,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
meja workstation ws 03,0.9999999850988388,,,SES,
papan pengumuman ib 01 1800,0.5861929292778769,,,SES,
papan tulis wbs 02,1.4901161193847656e-08,5.714979662154452e-14,0.0,HW,
rak buku bs 01,1.4901161193847656e-08,,,SES,
rak buku bs 02,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
rak sepatu sr 03,0.22908982730062752,,,SES,
ranjang single sb 02,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
sofa bench sb 204,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
tempat tidur tt uks,1.4901161193847656e-08,5.893614457794131e-09,0.0,HW,
tiang bendera fg 01,,,,SES,fallback: Cannot use heuristic method with less than 10 observations.
