product_name,reason
box outlet flip top,insufficient data (<6)
credenza crd 01,insufficient data (<6)
credenza crd 01 1200,insufficient data (<6)
credenza crd 01 1500,insufficient data (<6)
credenza crd 06,insufficient data (<6)
credenza crd 07 1600,insufficient data (<6)
credenza crd 10,insufficient data (<6)
credenza crd 11,insufficient data (<6)
dry box kamera 01,insufficient data (<6)
komputer pc tray,insufficient data (<6)
kursi auditorium ll 184,insufficient data (<6)
kursi auditorium ll 509,insufficient data (<6)
kursi auditorium ll 516 tb tg,insufficient data (<6)
kursi auditorium ll 516 tg,insufficient data (<6)
kursi auditorium ll 521,insufficient data (<6)
kursi auditorium ll 523 pp,insufficient data (<6)
kursi auditorium ll 526 tb,insufficient data (<6)
kursi bar stool bs 512 pc,insufficient data (<6)
kursi br 211 ccha mesh,insufficient data (<6)
kursi br 211 har,insufficient data (<6)
kursi br 211 har mesh,insufficient data (<6)
kursi fs 607 mhar,insufficient data (<6)
kursi fs 812 m,insufficient data (<6)
kursi fs 813 har,insufficient data (<6)
kursi fs 911 har mesh,insufficient data (<6)
kursi fs 913 har,insufficient data (<6)
kursi gaming gc 202,insufficient data (<6)
kursi hadap x 615 cch,insufficient data (<6)
kursi kabag x 814 mhar cpt,insufficient data (<6)
kursi kerja ar 601,insufficient data (<6)
kursi kerja ar 605 ccha,insufficient data (<6)
kursi kerja ar 701 ha,insufficient data (<6)
kursi kerja ar 701 har,insufficient data (<6)
kursi kerja ar 702 ca,insufficient data (<6)
kursi kerja ar 702 har,insufficient data (<6)
kursi kerja ar 703 h,insufficient data (<6)
kursi kerja ar 704 har,insufficient data (<6)
kursi kerja br 201 hba,insufficient data (<6)
kursi kerja br 203 hba,insufficient data (<6)
kursi kerja br 205 spa,insufficient data (<6)
kursi kerja br 206 ha,insufficient data (<6)
kursi kerja br 208 hba,insufficient data (<6)
kursi kerja cl 905 whar cpt,insufficient data (<6)
kursi kerja cl 906 whar cpt,insufficient data (<6)
kursi kerja cl 906 whar cpt gl,insufficient data (<6)
kursi kerja dp 303 tb,insufficient data (<6)
kursi kerja dp 303a,insufficient data (<6)
kursi kerja fs 503 har,insufficient data (<6)
kursi kerja fs 811 har mesh,insufficient data (<6)
kursi kerja fs 906 mhar synch,insufficient data (<6)
kursi kerja ll 502 h,insufficient data (<6)
kursi kerja mg 904 mhar,insufficient data (<6)
kursi kerja x 611 ccha,insufficient data (<6)
kursi kerja x 616 ca,insufficient data (<6)
kursi kerja x 803 mhar cpt,insufficient data (<6)
kursi kerja x 901,insufficient data (<6)
kursi kerja x 916 mhar cpt,insufficient data (<6)
kursi kerja x 917 mhar synch,insufficient data (<6)
kursi lounge lc 513 wood,insufficient data (<6)
kursi lounge lc 518 mhar,insufficient data (<6)
