date,rank,product,category,mean
2025-01-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,995.0
2025-01-01,2,kursi auditorium ll 526 tb,Auditorium Series,500.0
2025-01-01,3,kursi kerja dp 301 tb,Stacking Series,494.80222222222227
2025-01-01,4,kursi auditorium ll 184,Auditorium Series,451.0
2025-01-01,5,kursi siswa ll 507 tc,Kursi Siswa,303.0
2025-01-01,6,meja siswa ll 507 tc,Meja Siswa,303.0
2025-01-01,7,kursi stool st 02,Stacking Series,173.0
2025-01-01,8,meja komputer cd 06,Meja Komputer ,167.0
2025-01-01,9,kursi kerja dp 308,Stacking Series,163.66999999999996
2025-01-01,10,meja siswa ll 508 tc,Meja Siswa,150.0
2025-02-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,1044.75
2025-02-01,2,kursi auditorium ll 526 tb,Auditorium Series,525.0
2025-02-01,3,kursi kerja dp 301 tb,Stacking Series,519.5423333333334
2025-02-01,4,kursi auditorium ll 184,Auditorium Series,473.55
2025-02-01,5,kursi siswa ll 507 tc,Kursi Siswa,318.15000000000003
2025-02-01,6,meja siswa ll 507 tc,Meja Siswa,318.15000000000003
2025-02-01,7,kursi stool st 02,Stacking Series,181.65
2025-02-01,8,meja komputer cd 06,Meja Komputer ,175.35
2025-02-01,9,kursi kerja dp 308,Stacking Series,171.85349999999997
2025-02-01,10,meja siswa ll 508 tc,Meja Siswa,157.5
2025-03-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,1081.1695276765515
2025-03-01,2,kursi auditorium ll 526 tb,Auditorium Series,543.3012701892219
2025-03-01,3,kursi kerja dp 301 tb,Stacking Series,537.653351651566
2025-03-01,4,kursi auditorium ll 184,Auditorium Series,490.05774571067815
2025-03-01,5,kursi siswa ll 507 tc,Kursi Siswa,329.2405697346685
2025-03-01,6,meja siswa ll 507 tc,Meja Siswa,329.2405697346685
2025-03-01,7,kursi stool st 02,Stacking Series,187.98223948547079
2025-03-01,8,meja komputer cd 06,Meja Komputer ,181.4626242432001
2025-03-01,9,kursi kerja dp 308,Stacking Series,177.84423778373986
2025-03-01,10,meja siswa ll 508 tc,Meja Siswa,162.99038105676658
2025-04-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,1094.5
2025-04-01,2,kursi auditorium ll 526 tb,Auditorium Series,550.0
2025-04-01,3,kursi kerja dp 301 tb,Stacking Series,544.2824444444445
2025-04-01,4,kursi auditorium ll 184,Auditorium Series,496.1
2025-04-01,5,kursi siswa ll 507 tc,Kursi Siswa,333.3
2025-04-01,6,meja siswa ll 507 tc,Meja Siswa,333.3
2025-04-01,7,kursi stool st 02,Stacking Series,190.3
2025-04-01,8,meja komputer cd 06,Meja Komputer ,183.70000000000002
2025-04-01,9,kursi kerja dp 308,Stacking Series,180.03699999999998
2025-04-01,10,meja siswa ll 508 tc,Meja Siswa,165.0
2025-05-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,1081.1695276765515
2025-05-01,2,kursi auditorium ll 526 tb,Auditorium Series,543.3012701892219
2025-05-01,3,kursi kerja dp 301 tb,Stacking Series,537.653351651566
2025-05-01,4,kursi auditorium ll 184,Auditorium Series,490.05774571067815
2025-05-01,5,kursi siswa ll 507 tc,Kursi Siswa,329.2405697346685
2025-05-01,6,meja siswa ll 507 tc,Meja Siswa,329.2405697346685
2025-05-01,7,kursi stool st 02,Stacking Series,187.98223948547079
2025-05-01,8,meja komputer cd 06,Meja Komputer ,181.4626242432001
2025-05-01,9,kursi kerja dp 308,Stacking Series,177.84423778373986
2025-05-01,10,meja siswa ll 508 tc,Meja Siswa,162.99038105676658
2025-06-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,1044.75
2025-06-01,2,kursi auditorium ll 526 tb,Auditorium Series,525.0
2025-06-01,3,kursi kerja dp 301 tb,Stacking Series,519.5423333333334
2025-06-01,4,kursi auditorium ll 184,Auditorium Series,473.55
2025-06-01,5,kursi siswa ll 507 tc,Kursi Siswa,318.15000000000003
2025-06-01,6,meja siswa ll 507 tc,Meja Siswa,318.15000000000003
2025-06-01,7,kursi stool st 02,Stacking Series,181.65
2025-06-01,8,meja komputer cd 06,Meja Komputer ,175.35
2025-06-01,9,kursi kerja dp 308,Stacking Series,171.85349999999997
2025-06-01,10,meja siswa ll 508 tc,Meja Siswa,157.5
2025-07-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,995.0
2025-07-01,2,kursi auditorium ll 526 tb,Auditorium Series,500.0
2025-07-01,3,kursi kerja dp 301 tb,Stacking Series,494.80222222222227
2025-07-01,4,kursi auditorium ll 184,Auditorium Series,451.0
2025-07-01,5,kursi siswa ll 507 tc,Kursi Siswa,303.0
2025-07-01,6,meja siswa ll 507 tc,Meja Siswa,303.0
2025-07-01,7,kursi stool st 02,Stacking Series,173.0
2025-07-01,8,meja komputer cd 06,Meja Komputer ,167.0
2025-07-01,9,kursi kerja dp 308,Stacking Series,163.66999999999996
2025-07-01,10,meja siswa ll 508 tc,Meja Siswa,150.0
2025-08-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,945.2500000000001
2025-08-01,2,kursi auditorium ll 526 tb,Auditorium Series,475.00000000000006
2025-08-01,3,kursi kerja dp 301 tb,Stacking Series,470.06211111111116
2025-08-01,4,kursi auditorium ll 184,Auditorium Series,428.45000000000005
2025-08-01,5,kursi siswa ll 507 tc,Kursi Siswa,287.85
2025-08-01,6,meja siswa ll 507 tc,Meja Siswa,287.85
2025-08-01,7,kursi stool st 02,Stacking Series,164.35000000000002
2025-08-01,8,meja komputer cd 06,Meja Komputer ,158.65
2025-08-01,9,kursi kerja dp 308,Stacking Series,155.48649999999998
2025-08-01,10,meja siswa ll 508 tc,Meja Siswa,142.5
2025-09-01,1,kursi auditorium ll 516 tb tg,Auditorium Series,908.8304723234484
2025-09-01,2,kursi auditorium ll 526 tb,Auditorium Series,456.6987298107781
2025-09-01,3,kursi kerja dp 301 tb,Stacking Series,451.9510927928785
2025-09-01,4,kursi auditorium ll 184,Auditorium Series,411.94225428932185
