date,product_name,category,forecast,method,rank
2025-01-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2025-01-01,kursi kerja dp 301,Stacking Series,180.1157074952565,SES,2
2025-01-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2025-01-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2025-01-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2025-02-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2025-02-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2025-02-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,3
2025-02-01,kursi auditorium ll 520 tb,Auditorium Series,100.2711925090907,SES,4
2025-02-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2025-03-01,kursi auditorium ll 520 tb,Auditorium Series,261.93928050230295,SES,1
2025-03-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,2
2025-03-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2025-03-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2025-03-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2025-04-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2025-04-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2025-04-01,kursi auditorium ll 520,Auditorium Series,121.80236564799402,SES,3
2025-04-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2025-04-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2025-05-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2025-05-01,kursi auditorium ll 516 tb,Auditorium Series,155.66544186758028,SES,2
2025-05-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2025-05-01,kursi auditorium ll 520 tb,Auditorium Series,110.34961652929813,SES,4
2025-05-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,5
2025-06-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2025-06-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2025-06-01,kursi auditorium ll 520 tb,Auditorium Series,141.13985458269235,SES,3
2025-06-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2025-06-01,kursi auditorium ll 516 tb,Auditorium Series,90.65447972072633,SES,5
2025-07-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2025-07-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,2
2025-07-01,kursi auditorium ll 516 tb,Auditorium Series,119.14758703560622,SES,3
2025-07-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,4
2025-07-01,kursi br 211 ca mesh,Secretary Series,81.0,SES,5
2025-08-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
2025-08-01,kursi auditorium ll 516 tb,Auditorium Series,155.96120799291086,SES,2
2025-08-01,kursi kerja br 205 ha,Secretary Series,155.0,SES,3
2025-08-01,kursi auditorium ll 520 tb,Auditorium Series,131.05071229570234,SES,4
2025-08-01,kursi kerja dp 308,Stacking Series,104.00103968017413,SES,5
2025-09-01,kursi kerja dp 301 tb,Stacking Series,184.15694951096208,SES,1
